chemblId,pIC50,KRFPC1148,KRFPC1642,KRFPC297,KRFPC2711,KRFPC1193,KRFPC45,KRFPC3560,KRFPC444,KRFPC1645,KRFPC433,KRFPC1,KRFPC2981,KRFPC2262,KRFPC677,KRFPC4331,KRFPC2547,KRFPC669,KRFPC2856,KRFPC2979,KRFPC2438
CHEMBL1431650,4.52031832445,0.0,0.0,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.333333333333,0.2,0.0,0.0,0.0,0.0
CHEMBL1367590,4.60273436596,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333333333333,0.555555555556,0.2,0.0,0.0,0.0,0.0
CHEMBL1587260,5.02329108533,0.0,0.0,0.1,0.0,0.5,0.0,0.25,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.666666666667,0.333333333333,0.2,0.333333333333,0.0,0.0,0.0
CHEMBL1522044,4.60727386032,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.0
CHEMBL1461574,5.0610646918,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.666666666667,0.4,0.333333333333,0.0,0.0,0.0
CHEMBL1328182,4.70928085669,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.125,0.0,0.0,0.0,0.222222222222,0.2,0.166666666667,0.0,0.0,0.0
CHEMBL250109,5.97881070093,0.333333333333,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.222222222222,0.0,0.333333333333,0.0,0.0,0.0
CHEMBL191716,7.03621217265,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL194772,6.19517932128,0.166666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0
CHEMBL362425,7.83983170704,0.333333333333,0.666666666667,0.2,0.0,0.5,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.5,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.5
CHEMBL363177,6.92811799269,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL364329,6.2700257143,0.333333333333,0.333333333333,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.166666666667,0.0,0.0,0.0
CHEMBL361226,6.31605286925,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.2,0.166666666667,0.0,0.0,0.0
CHEMBL379543,6.37468754904,0.0,0.0,0.35,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.111111111111,0.0,0.166666666667,0.0,0.0,0.0
CHEMBL361063,5.9523358054,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.166666666667,0.0,0.0,0.0
CHEMBL189822,6.32330639038,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.166666666667,0.0,0.0,0.0
CHEMBL192782,7.11350927483,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL192901,7.13667713988,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
CHEMBL362307,7.48148606012,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
CHEMBL190487,6.14874165128,0.5,0.333333333333,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.0
CHEMBL1479,4.74982405192,0.166666666667,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.111111111111,0.0,0.333333333333,0.0,0.0,0.0
CHEMBL104416,5.8416375079,0.333333333333,0.333333333333,0.1,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444,0.2,0.166666666667,0.0,0.5,0.0
CHEMBL195991,7.2410881076,0.166666666667,0.333333333333,0.25,0.5,0.0,0.0,0.25,0.333333333333,0.333333333333,0.0,0.0,0.0,0.25,0.0,0.222222222222,0.2,0.333333333333,0.0,0.0,0.0
CHEMBL190038,8.69897000434,0.5,0.333333333333,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.444444444444,0.0,0.166666666667,0.0,0.0,0.0
CHEMBL189303,5.95860731484,0.333333333333,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL1627354,8.04575749056,0.333333333333,0.0,0.9,0.0,0.25,0.0,0.25,0.0,0.333333333333,0.0,0.625,0.0,0.25,0.0,0.333333333333,0.0,0.5,0.5,0.0,0.0
CHEMBL178665,9.33724216832,0.333333333333,0.666666666667,0.2,0.0,0.5,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.5,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.5
CHEMBL435696,7.79588001734,0.333333333333,0.666666666667,0.3,0.5,0.0,0.666666666667,0.5,0.333333333333,0.333333333333,0.666666666667,0.25,0.333333333333,0.25,0.0,0.444444444444,0.4,0.0,0.5,0.0,0.0
CHEMBL371564,6.05700040663,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL1628170,7.33724216832,0.5,0.333333333333,0.25,0.0,0.25,0.0,0.25,0.0,0.333333333333,0.0,0.625,0.0,0.0,0.0,0.444444444444,0.0,0.166666666667,0.5,0.0,0.0
CHEMBL362349,5.27736607747,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL954,8.34065436425,0.0,0.333333333333,0.2,0.5,0.0,0.0,0.25,0.333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.111111111111,0.2,0.333333333333,0.0,0.5,0.0
CHEMBL184974,8.92081875395,0.333333333333,0.666666666667,0.5,0.5,0.0,0.666666666667,0.5,0.333333333333,0.333333333333,0.666666666667,0.25,0.333333333333,0.25,0.0,0.444444444444,0.4,0.0,0.5,0.0,0.0
CHEMBL1627353,6.40120949324,0.5,0.333333333333,0.2,0.0,0.0,0.0,0.25,0.0,0.333333333333,0.0,0.75,0.0,0.0,0.0,0.333333333333,0.0,0.166666666667,0.5,0.0,0.0
CHEMBL188846,6.64397414281,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL196131,8.54668165995,0.333333333333,0.333333333333,0.4,0.5,0.0,0.0,0.25,0.333333333333,0.666666666667,0.666666666667,0.0,0.0,0.25,0.0,0.333333333333,0.2,0.0,0.0,0.0,0.0
CHEMBL372304,5.1784864716,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.2,0.166666666667,0.0,0.0,0.0
CHEMBL427180,6.75945075172,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.2,0.166666666667,0.0,0.0,0.0
CHEMBL194265,6.54821356448,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0,0.0,0.0
CHEMBL195788,6.14935376482,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.0
CHEMBL183344,9.09691001301,0.333333333333,0.666666666667,0.25,0.5,0.0,0.666666666667,0.5,0.333333333333,0.333333333333,0.333333333333,0.375,0.333333333333,0.25,0.0,0.444444444444,0.4,0.166666666667,0.5,0.0,0.0
