Real,AtomPairs2DFingerprintCount,AtomPairs2DFingerprinter,EStateFingerprinter,ExtendedFingerprinter,Fingerprinter,GraphOnlyFingerprinter,KlekotaRothFingerprintCount,KlekotaRothFingerprinter,MACCSFingerprinter,PubchemFingerprinter,SubstructureFingerprintCount,SubstructureFingerprinter
7.58183631232,5.04266283128,7.70241325621,6.1472682894,5.17566646031,5.26293416221,5.09200576648,6.69964841535,5.06855305066,4.91144558097,5.69351807171,5.64738239274,6.51506017454
7.65906832131,4.89811106198,8.15087070056,6.37358474249,5.26561556307,5.17200806242,5.08736603692,6.88085785451,5.0679603878,4.78717472562,5.5017602001,5.31321956106,6.13125147202
7.60776219974,5.26029973096,6.46411311062,5.46622846702,4.93000938832,4.95164932405,4.99057841275,5.84303605767,4.90420234267,5.23085171947,5.42336892631,4.84940674965,5.40565066958
7.35846045279,6.05080964059,6.39619566383,6.63862480085,5.08645362936,5.3949099505,5.91372558212,6.35140518151,5.66518202518,5.05207575627,6.33863929652,4.96628272161,6.99920640024
7.53512908476,5.04596290833,5.96828979628,5.88117192231,4.79402782483,5.5669557783,5.29047947497,5.95912359462,4.72996199317,4.97357489119,5.87712013013,5.62354202156,6.83181610525
7.65986337136,5.17550781144,6.99772971655,6.9048034607,4.88987658015,5.46136451679,5.74173483084,6.60390526822,4.73559428127,4.92854282853,5.78958362612,5.40617165405,6.58175061086
7.56769467736,5.18553745913,6.35177982246,5.99694586697,4.85944292319,5.3511821298,5.49696992294,6.27653523043,4.67167941336,4.97939147928,6.19484880986,5.19417494408,6.7000692898
8.04787330735,5.16361637512,5.90164580168,5.20978312756,5.08425721314,5.53687742799,5.14839662031,5.88050201378,5.09056948955,5.13037592224,6.41109265792,5.64197522797,6.72456054087
7.65525218275,5.15870484376,6.37496017052,6.17488057441,4.79159685775,5.30718320408,5.34276755317,6.68651521058,5.37813659685,4.92718023922,6.38796907218,5.80402685116,6.35756366095
7.42923880027,5.07792137184,6.54807622992,5.76627907943,4.92649245663,5.2927804481,4.92294779326,5.89392303662,4.899765413,5.24182589897,5.59379032511,4.98521149412,5.76736017222
8.08461705141,4.96147334877,7.56777853678,6.13470189659,5.12740578421,4.90611539262,5.22418825655,7.16789786036,5.38524605816,5.06267728771,5.78769478246,6.01094465452,6.12715415606
7.52235935026,5.01587838901,6.61841053293,5.47083724318,4.88071002708,5.24569353024,4.96432823855,5.85164420929,4.73058678111,5.0873886702,5.51048449694,4.96148491959,5.41841711915
7.86198798158,4.94053739139,7.3432809456,6.96986149995,4.96735558222,5.40416483431,5.25368185703,6.99736902127,4.90746432084,4.92018364348,5.77059881953,6.21267393167,7.18615894388
7.3318434066,5.05658347612,6.61841053293,5.47083724318,4.88071002708,5.24569353024,4.96432823855,5.82974049689,4.73058678111,5.0873886702,5.51048449694,4.90542820027,5.41841711915
7.79556798031,5.028750097,5.59519724091,5.75917708596,4.8024953124,5.73601582039,5.35646590742,6.17019549464,4.93183489276,5.00752116421,6.65737275733,5.60932159585,6.89064546536
7.41466337236,5.17147322389,7.49322206049,6.68953165088,4.97676686609,5.26383490959,5.46292634735,6.55672446797,4.85339322184,5.07259501366,5.69238164302,5.61924874949,6.77792071207
7.45354371049,5.068473377,7.0671651594,6.8028754979,5.10433809347,5.36984034356,5.23805261735,6.5394307964,4.83983631192,4.90647356675,5.87914176631,5.81037610413,7.01680148767
8.08644150309,5.22186253794,5.72321960288,5.44871041348,4.76330210889,5.04769126279,5.32332464778,6.32691916304,4.95126152649,5.04368735063,5.89330306335,5.55340179878,6.8235838421
7.55449698823,5.16383319897,6.56802314247,6.21738606826,4.82127913483,5.64253785184,5.0949428375,6.2743688734,4.90716189706,5.07564135238,5.86242608079,5.79167069269,7.30188080113
8.20328763026,5.14855992215,7.26743394433,5.89611518193,5.30545902317,5.44139193547,5.28200948278,6.90081255036,4.88754981956,4.97046418083,5.57860600664,5.2799637277,6.38170676908
