chemblId,STATUS,MW,LogP,nHAcc,nHDon
CHEMBL241304,active,539.72,6.4753,4,3
CHEMBL241485,active,511.666,5.6951,4,3
CHEMBL437190,active,640.828,7.99242,5,3
CHEMBL182402,active,477.626,6.174,6,2
CHEMBL188391,active,261.664,3.5594,4,2
CHEMBL184598,active,475.61,5.7855,6,2
CHEMBL360315,active,459.586,5.9819,5,2
CHEMBL371777,active,252.269,3.2248,3,2
CHEMBL126164,active,465.64,6.2528,6,2
CHEMBL195786,active,266.296,3.9266,3,2
CHEMBL219134,intermediate,426.553,6.5832,5,3
CHEMBL204119,intermediate,254.285,3.57706,3,1
CHEMBL204222,inactive,280.323,3.99714,3,1
CHEMBL212392,intermediate,281.359,3.4369,3,1
CHEMBL441366,active,309.413,4.2171,3,1
CHEMBL384709,active,349.356,4.3694,3,1
CHEMBL189080,active,306.115,3.6685,4,2
CHEMBL180707,active,569.082,6.8263,6,2
CHEMBL362272,active,353.143,4.4212,4,2
CHEMBL438516,active,300.116,4.3132,3,2
CHEMBL234733,intermediate,299.282,2.21,5,1
CHEMBL206441,intermediate,284.311,3.58566,4,1
CHEMBL379188,intermediate,306.287,3.8041,2,1
CHEMBL425439,active,362.351,4.6146,3,1
CHEMBL192102,intermediate,312.368,5.585,2,2
CHEMBL395308,active,263.296,4.0205,3,2
CHEMBL394788,active,300.226,1.8066,6,2
CHEMBL245133,active,334.125,2.6609,4,2
CHEMBL234527,intermediate,269.256,2.2014,4,1
CHEMBL195208,active,282.314,4.6195,2,2
CHEMBL8145,inactive,254.241,2.8712,4,2
CHEMBL195437,inactive,206.329,4.2952,1,1
CHEMBL435090,active,269.3,3.8585,4,2
CHEMBL1201151,active,310.437,3.9156,2,1
CHEMBL366928,active,498.648,6.2751,6,2
CHEMBL192068,active,306.695,4.8496,2,2
CHEMBL360651,active,261.664,3.5594,4,2
CHEMBL195878,active,254.26,4.0571,2,2
CHEMBL182237,active,536.657,5.94394,8,2
CHEMBL365293,intermediate,227.219,2.906,4,2
CHEMBL183086,active,477.626,6.3181,6,2
CHEMBL426641,active,297.26,4.06788,3,2
CHEMBL374799,active,288.734,3.0546,4,2
CHEMBL225349,active,270.288,2.84,5,3
CHEMBL222434,active,312.8,5.1774,3,1
CHEMBL373743,active,296.345,4.6631,3,1
CHEMBL451496,active,273.219,2.0375,4,2
CHEMBL186643,active,289.237,3.9853,4,2
CHEMBL362718,active,481.639,5.4925,7,2
CHEMBL418327,active,461.583,5.973,6,2
CHEMBL187207,active,324.105,3.8076,4,2
CHEMBL181248,active,491.603,6.5095,5,2
